feature,importance_mean,importance_std
y_min,0.1648169131456038,0.004618572357548557
y_std,0.15826897315817529,0.0034561358042966036
x_at_y_max,0.1097989116669407,0.003494714634807607
y_median,0.09112717620594275,0.004563706884084164
first_third_std,0.090248044874672,0.0026318997228748356
x_at_y_min,0.07896417075219571,0.0023675338738146845
last_third_std,0.07374524681174868,0.0039797088214851865
middle_third_std,0.05430251485533396,0.003353197771635686
y_peak_to_peak,0.03974238381195979,0.003793086724578628
y_max,0.03494123752578689,0.0027844944003264636
first_third_energy,0.023023648892186534,0.002551268005206928
last_third_energy,0.01663955701716715,0.00517870337629368
middle_third_energy,0.006929516664320456,0.003209000120007997
y_energy,0.0030523894970029388,0.001255618062900071
y_mean,0.0021533891538924486,0.0008601288477043619
y_abs_mean,0.0005464254894612996,0.00047639100817245886
y_abs_area,5.9494217538969e-05,0.00018636515212567287
