feature,importance_mean,importance_std
y_min,0.10165383751654014,0.004059450216684899
y_std,0.08339666409022047,0.00235279441260262
x_at_y_max,0.07821716857651054,0.0043086645568506865
first_third_std,0.07104937528076302,0.0027365292984733672
last_third_std,0.0640444427606772,0.0041476933669547696
y_max,0.05680496212945082,0.004771938693143499
y_median,0.052366646767322875,0.003105179725495717
y_peak_to_peak,0.048932666731270794,0.0018417771601856967
first_third_energy,0.04870579448472097,0.0021965629034287133
x_at_y_min,0.04710423147368444,0.003935696628296396
middle_third_energy,0.046442072708642534,0.0020977431606842
middle_third_std,0.04206262251566476,0.0029977656013417133
last_third_energy,0.04028812926670773,0.002930191795323368
y_energy,0.03176900041868347,0.002109783968723352
y_abs_mean,0.02841468624718605,0.002487217966282634
y_mean,0.024370114338611793,0.0016254460528352477
y_abs_area,0.02265187460918333,0.0026907913605844535
