model,red_threshold,green_threshold,accuracy,balanced_accuracy,macro_f1,weighted_f1,critical_errors,critical_error_rate,false_alarms,false_alarm_rate,red_to_yellow_rate,green_to_yellow_rate
hgb,0.2,0.97,0.810245564563506,0.8798381456267794,0.8203346173795504,0.8221613360514743,16,1.2539184952978055,83,1.517367458866545,4.702194357366771,25.685557586837295
hgb,0.25,0.97,0.8097755845376572,0.8785037111185635,0.8209496737600338,0.8222980864983217,16,1.2539184952978055,66,1.206581352833638,5.329153605015674,25.996343692870198
hgb,0.3,0.97,0.8094230995182705,0.8774305096302014,0.8209440313266251,0.8222524190898328,16,1.2539184952978055,60,1.0968921389396709,5.877742946708464,26.10603290676417
hgb,0.35,0.97,0.8086006344730349,0.8753123760624244,0.8200403395262107,0.8217873119569453,16,1.2539184952978055,56,1.023765996343693,6.739811912225706,26.179159049360145
hgb,0.4,0.97,0.807660674421337,0.8731501362963945,0.8187959791512949,0.8211480184062565,16,1.2539184952978055,53,0.9689213893967094,7.445141065830721,26.23400365630713
hgb,0.45,0.97,0.8067207143696393,0.8709878965303646,0.8180986388487458,0.8207004179704364,16,1.2539184952978055,43,0.7861060329067643,8.150470219435736,26.416819012797077
hgb,0.5,0.97,0.8063682293502527,0.8700594462564029,0.8180565407915434,0.8206256679786741,16,1.2539184952978055,37,0.676416819012797,8.5423197492163,26.526508226691043
hgb,0.55,0.97,0.8054282692985548,0.8678972064903729,0.8168035264035867,0.8199838957623661,16,1.2539184952978055,34,0.6215722120658135,9.247648902821316,26.58135283363803
hgb,0.6,0.97,0.804958289272706,0.8666351475893572,0.8163516412219728,0.8197480796093727,16,1.2539184952978055,31,0.56672760511883,9.796238244514106,26.636197440585008
hgb,0.65,0.97,0.8043708142403948,0.8653289824900887,0.8157236250186566,0.8193962763572911,16,1.2539184952978055,27,0.4936014625228519,10.18808777429467,26.70932358318099
hgb,0.7,0.97,0.8031958641757725,0.8625719010771511,0.814176872702273,0.8186076377535705,16,1.2539184952978055,23,0.4204753199268739,11.128526645768025,26.782449725776964
hgb,0.2,0.975,0.7994360239689813,0.8748714028302053,0.8124434715514006,0.8123025892781023,14,1.09717868338558,83,1.517367458866545,4.858934169278997,27.45886654478976
hgb,0.25,0.975,0.7989660439431324,0.8735369683219893,0.8130985790304566,0.8124642569575826,14,1.09717868338558,66,1.206581352833638,5.4858934169279,27.769652650822668
hgb,0.3,0.975,0.7986135589237457,0.8724637668336271,0.8131115986085214,0.812430199859369,14,1.09717868338558,60,1.0968921389396709,6.0344827586206895,27.879341864716633
hgb,0.35,0.975,0.7977910938785102,0.87034563326585,0.8122298505738131,0.8119787447344023,14,1.09717868338558,56,1.023765996343693,6.896551724137931,27.952468007312614
hgb,0.4,0.975,0.7968511338268124,0.8681833934998201,0.8110050583851726,0.8113516252580089,14,1.09717868338558,53,0.9689213893967094,7.601880877742946,28.0073126142596
hgb,0.45,0.975,0.7959111737751146,0.8660211537337902,0.8103389748108455,0.8109234707599089,14,1.09717868338558,43,0.7861060329067643,8.307210031347962,28.190127970749547
