model,p3_threshold,p0_threshold,accuracy,balanced_accuracy,macro_f1,weighted_f1,critical_errors,critical_error_rate,false_alarms,false_alarm_rate,red_to_yellow_rate,green_to_yellow_rate
hgb,0.97,0.4,0.8007284690400658,0.8791145986050147,0.7721696976358601,0.8287013109718109,16,1.2539184952978055,272,4.972577696526508,3.4482758620689653,22.230347349177332
hgb,0.975,0.4,0.7900364234520033,0.8767538480088217,0.7649987380240366,0.819681565326393,14,1.09717868338558,295,5.393053016453382,3.4482758620689653,23.583180987202926
hgb,0.98,0.4,0.7746445776054518,0.8724909214711604,0.754696527026591,0.8065158177609617,10,0.7836990595611284,328,5.996343692870202,3.4482758620689653,25.502742230347348
hgb,0.985,0.4,0.7524380213840912,0.865426951338627,0.7402412782111492,0.7873447725253392,6,0.4702194357366771,368,6.727605118829983,3.526645768025078,28.336380255941503
hgb,0.99,0.4,0.7225942897426859,0.8559909391935732,0.7209874031799993,0.7602625998364507,4,0.3134796238244514,433,7.915904936014625,3.526645768025078,31.919561243144422
hgb,0.995,0.4,0.6603219363177065,0.8333419599202719,0.6803462180037803,0.6994892349390793,1,0.07836990595611285,590,10.786106032906764,3.526645768025078,38.84826325411335
mlp,0.97,0.4,0.8010809540594525,0.8641246088900361,0.7646272934172658,0.827157195210614,18,1.4106583072100314,304,5.557586837294333,3.8401253918495297,20.694698354661792
mlp,0.975,0.4,0.7896839384326166,0.8608147291794681,0.7569133588913292,0.8178230057594995,17,1.3322884012539185,322,5.886654478976234,3.918495297805643,22.19378427787934
mlp,0.98,0.4,0.7775819527670074,0.8577553115880374,0.7489593551865188,0.8075888613647836,16,1.2539184952978055,346,6.325411334552103,3.918495297805643,23.729433272394882
mlp,0.985,0.4,0.7643050170367759,0.8527409986929643,0.7398271927783621,0.7961919545917061,15,1.1755485893416928,375,6.855575868372943,3.918495297805643,25.283363802559418
mlp,0.99,0.4,0.7437433909058865,0.8466913465362501,0.7266463142719871,0.7783949705146082,12,0.9404388714733543,414,7.568555758683729,3.918495297805643,27.897623400365628
mlp,0.995,0.4,0.7041475737281165,0.833986600897902,0.702379309268229,0.7431671295731993,8,0.6269592476489028,477,8.720292504570384,3.9968652037617556,33.07129798903108
