model,p3_threshold,p0_threshold,accuracy,balanced_accuracy,macro_f1,weighted_f1,critical_errors,critical_error_rate,false_alarms,false_alarm_rate,red_to_yellow_rate,green_to_yellow_rate
hgb,0.9,0.4,0.7496181412289977,0.8632863570150116,0.7384678781666462,0.7855157945242414,7,0.54858934169279,312,5.703839122486289,4.310344827586207,29.798903107861058
hgb,0.91,0.4,0.7415109857831043,0.8605072563436644,0.733278083742399,0.7783195395908105,7,0.54858934169279,326,5.959780621572213,4.310344827586207,30.822669104204753
hgb,0.92,0.4,0.731523910233815,0.8571471151721253,0.7269855715749781,0.7693825452581956,6,0.4702194357366771,343,6.270566727605119,4.310344827586207,32.10237659963437
hgb,0.93,0.4,0.7180119844906592,0.8526401021292481,0.7181903760643771,0.7568415335797689,5,0.3918495297805642,374,6.837294332723949,4.38871473354232,33.6745886654479
hgb,0.94,0.4,0.7032076136764187,0.8472558826279193,0.7087116569067318,0.7429442955716604,5,0.3918495297805642,404,7.385740402193784,4.38871473354232,35.447897623400365
hgb,0.95,0.4,0.6891082129009517,0.8426705713151976,0.6997883434279036,0.7293520143560439,4,0.3134796238244514,435,7.952468007312614,4.38871473354232,37.12979890310786
mlp,0.9,0.4,0.83632945599812,0.8619242300406571,0.7860080634610851,0.854627769678126,23,1.8025078369905956,215,3.930530164533821,3.8401253918495297,15.904936014625228
mlp,0.91,0.4,0.8309246857008578,0.8614699312792081,0.781909192351117,0.8502354449393814,22,1.7241379310344827,234,4.2778793418647165,3.8401253918495297,16.489945155393055
mlp,0.92,0.4,0.8245799553518975,0.8623721020195335,0.7777805514626553,0.845312128234354,22,1.7241379310344827,248,4.53382084095064,3.8401253918495297,17.385740402193782
mlp,0.93,0.4,0.8168252849253906,0.8626518043138203,0.7727042082532403,0.8391704658323967,20,1.5673981191222568,266,4.862888482632541,3.8401253918495297,18.446069469835464
mlp,0.94,0.4,0.8062507343437904,0.8608614427106219,0.7654548802089942,0.8305035185797893,17,1.3322884012539185,288,5.2650822669104205,3.8401253918495297,19.83546617915905
mlp,0.95,0.4,0.7919163435553989,0.8567094088735274,0.7552283739991064,0.8185264838327053,15,1.1755485893416928,321,5.868372943327239,3.8401253918495297,21.553930530164532
