model,p3_threshold,p0_threshold,accuracy,balanced_accuracy,macro_f1,weighted_f1,critical_errors,critical_error_rate,false_alarms,false_alarm_rate,red_to_yellow_rate,green_to_yellow_rate
hgb,0.93,0.4,0.7180119844906592,0.8526401021292481,0.7181903760643771,0.7568415335797689,5,0.3918495297805642,374,6.837294332723949,4.38871473354232,33.6745886654479
hgb,0.935,0.4,0.7114322641287745,0.8504551513664933,0.7140736612480757,0.7507399781869549,5,0.3918495297805642,386,7.056672760511883,4.38871473354232,34.49725776965265
hgb,0.94,0.4,0.7032076136764187,0.8472558826279193,0.7087116569067318,0.7429442955716604,5,0.3918495297805642,404,7.385740402193784,4.38871473354232,35.447897623400365
hgb,0.945,0.4,0.6966278933145341,0.8455956170190366,0.7045967133140038,0.7365733465793376,4,0.3134796238244514,420,7.678244972577697,4.38871473354232,36.23400365630713
hgb,0.95,0.4,0.6891082129009517,0.8426705713151976,0.6997883434279036,0.7293520143560439,4,0.3134796238244514,435,7.952468007312614,4.38871473354232,37.12979890310786
mlp,0.93,0.4,0.8168252849253906,0.8626518043138203,0.7727042082532403,0.8391704658323967,20,1.5673981191222568,266,4.862888482632541,3.8401253918495297,18.446069469835464
mlp,0.935,0.4,0.8116555046410527,0.8618404266259432,0.7690896798682172,0.8349435450562519,17,1.3322884012539185,278,5.082266910420475,3.8401253918495297,19.122486288848265
mlp,0.94,0.4,0.8062507343437904,0.8608614427106219,0.7654548802089942,0.8305035185797893,17,1.3322884012539185,288,5.2650822669104205,3.8401253918495297,19.83546617915905
mlp,0.945,0.4,0.7996710139819058,0.8586764919478671,0.7606875640739219,0.8250648241567038,17,1.3322884012539185,301,5.502742230347349,3.8401253918495297,20.63985374771481
mlp,0.95,0.4,0.7919163435553989,0.8567094088735274,0.7552283739991064,0.8185264838327053,15,1.1755485893416928,321,5.868372943327239,3.8401253918495297,21.553930530164532
