,mean,std,min,max
roc_auc,0.682644605852875,0.026344401060237332,0.6526381006644264,0.7252168022288121
average_precision,0.3713292586053252,0.03832351760841824,0.33593662389317325,0.435371536985394
baseline_ap,0.19193110770319688,0.0,0.19193110770319688,0.19193110770319688
top_20_label1,0.8,0.061237243569579464,0.7,0.85
top_20_label12,0.8,0.061237243569579464,0.7,0.85
top_50_label1,0.5920000000000001,0.0701427116670007,0.52,0.7
top_50_label12,0.6160000000000001,0.0909945053286186,0.54,0.76
top_100_label1,0.422,0.0759605160593318,0.36,0.55
top_100_label12,0.492,0.10425929215182693,0.4,0.67
top_500_label1,0.35279999999999995,0.03721827508093303,0.316,0.406
top_500_label12,0.4248,0.03735237609577201,0.384,0.484
